{'latitude': 52.3965, 'longitude': 13.535415}
{'latitude': 52.39652, 'longitude': 13.535395}
{'latitude': 52.396525, 'longitude': 13.535398}
{'latitude': 52.39652, 'longitude': 13.535418}
{'latitude': 52.396516, 'longitude': 13.535428}
{'latitude': 52.39651, 'longitude': 13.53541}
{'latitude': 52.396513, 'longitude': 13.535395}
{'latitude': 52.39651, 'longitude': 13.535383}
{'latitude': 52.396491, 'longitude': 13.535403}
{'latitude': 52.396521, 'longitude': 13.535405}
{'latitude': 52.396528, 'longitude': 13.535405}
{'latitude': 52.396528, 'longitude': 13.535403}
{'latitude': 52.396525, 'longitude': 13.535381}
{'latitude': 52.396495, 'longitude': 13.53548}
{'latitude': 52.396426, 'longitude': 13.535778}
{'latitude': 52.396403, 'longitude': 13.53593}
{'latitude': 52.396421, 'longitude': 13.535961}
{'latitude': 52.396428, 'longitude': 13.536105}
{'latitude': 52.396436, 'longitude': 13.536195}
{'latitude': 52.39644, 'longitude': 13.536263}
{'latitude': 52.396413, 'longitude': 13.536318}
{'latitude': 52.396358, 'longitude': 13.536373}
{'latitude': 52.39632, 'longitude': 13.536348}
{'latitude': 52.396308, 'longitude': 13.536343}
{'latitude': 52.39631, 'longitude': 13.536345}
{'latitude': 52.396361, 'longitude': 13.536276}
{'latitude': 52.396425, 'longitude': 13.536226}
{'latitude': 52.396503, 'longitude': 13.536175}
