{'timestamp': '2025-07-30T23:09:24.691777', 'lux': 40.833333333333336}
{'timestamp': '2025-07-30T23:09:30.238477', 'lux': 40.833333333333336}
{'timestamp': '2025-07-30T23:09:35.772366', 'lux': 40.833333333333336}
{'timestamp': '2025-07-30T23:09:41.308879', 'lux': 40.0}
{'timestamp': '2025-07-30T23:09:46.863716', 'lux': 34.16666666666667}
{'timestamp': '2025-07-30T23:09:52.751558', 'lux': 4.166666666666667}
{'timestamp': '2025-07-30T23:09:59.792424', 'lux': 5.833333333333334}
{'timestamp': '2025-07-30T23:10:06.776959', 'lux': 40.833333333333336}
{'timestamp': '2025-07-30T23:10:12.685567', 'lux': 40.0}
{'timestamp': '2025-07-30T23:10:18.446185', 'lux': 40.833333333333336}
{'timestamp': '2025-07-30T23:10:24.050297', 'lux': 40.0}
{'timestamp': '2025-07-30T23:10:29.585549', 'lux': 40.833333333333336}
{'timestamp': '2025-07-30T23:10:35.273844', 'lux': 40.0}
{'timestamp': '2025-07-30T23:10:40.834535', 'lux': 40.0}
{'timestamp': '2025-07-30T23:10:46.723479', 'lux': 40.0}
