{'timestamp': '2025-08-02T18:10:16.348906', 'sound_detected': True}
{'timestamp': '2025-08-02T18:10:21.904710', 'sound_detected': True}
{'timestamp': '2025-08-02T18:10:27.509382', 'sound_detected': True}
{'timestamp': '2025-08-02T18:10:33.104928', 'sound_detected': True}
{'timestamp': '2025-08-02T18:10:38.698055', 'sound_detected': True}
{'timestamp': '2025-08-02T18:10:44.291405', 'sound_detected': True}
{'timestamp': '2025-08-02T18:10:49.902797', 'sound_detected': True}
{'timestamp': '2025-08-02T18:10:55.521102', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:01.488604', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:07.187076', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:15.240811', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:23.250719', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:28.828241', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:34.437852', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:40.025821', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:45.623953', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:51.234367', 'sound_detected': True}
{'timestamp': '2025-08-02T18:11:59.212000', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:07.447365', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:13.387018', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:19.054453', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:24.982316', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:30.786596', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:36.568068', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:42.286282', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:47.886856', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:53.472827', 'sound_detected': True}
{'timestamp': '2025-08-02T18:12:59.420995', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:05.279190', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:11.058074', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:16.799227', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:22.455279', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:28.039206', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:33.623281', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:39.209014', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:44.819913', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:50.731497', 'sound_detected': True}
{'timestamp': '2025-08-02T18:13:56.516178', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:02.207243', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:07.809255', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:13.328207', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:19.207879', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:24.955327', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:30.639016', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:36.440933', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:42.147474', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:47.814652', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:53.335199', 'sound_detected': True}
{'timestamp': '2025-08-02T18:14:59.227035', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:04.894013', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:10.713307', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:16.308874', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:22.262810', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:28.084555', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:33.706970', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:39.697946', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:45.504824', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:51.459989', 'sound_detected': True}
{'timestamp': '2025-08-02T18:15:57.288923', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:03.068191', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:08.791906', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:14.376635', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:19.964957', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:25.570635', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:31.096473', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:36.693312', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:42.284953', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:47.880358', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:53.472773', 'sound_detected': True}
{'timestamp': '2025-08-02T18:16:59.071243', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:04.664311', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:10.267821', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:15.868016', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:21.401661', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:26.991916', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:32.589539', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:38.188219', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:43.782429', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:49.373766', 'sound_detected': True}
{'timestamp': '2025-08-02T18:17:54.987871', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:00.954290', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:06.914777', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:12.737443', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:18.480467', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:24.188169', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:29.825449', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:35.416010', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:41.007075', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:46.596281', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:52.199064', 'sound_detected': True}
{'timestamp': '2025-08-02T18:18:57.721618', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:03.272443', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:09.212090', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:14.868236', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:20.455587', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:26.076283', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:32.019364', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:37.838847', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:43.550759', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:49.488709', 'sound_detected': True}
{'timestamp': '2025-08-02T18:19:55.299449', 'sound_detected': True}
{'timestamp': '2025-08-02T18:20:01.042557', 'sound_detected': True}
